Smiles,pChEMBL_Value
C=CCC(NCc1ccco1)c1ccc(OC)c(OC)c1.Cl,4.4
C=CCC1(C(=O)NCCO)CCN(C(=O)OC(C)(C)C)CC1,3.95
C=CCC1(NC(C)c2ccccc2)CCCCC1,5.3
C=CCCC(=O)N1CCCC(Cc2cccc(Cl)c2)(C(=O)OCC)C1,4.35
C=CCCC(=O)NC1CCCc2c1cnn2-c1ccccc1F,6.2
C=CCN(C(=O)C1CSC2(C)CCC(=O)N12)c1nc(-c2ccccc2)cs1,5.4
C=CCN(C(=O)CNC(=O)c1ccco1)C(C(=O)NC1CCCCC1)c1cccnc1,4.5
C=CCN(C(=O)CSc1nnnn1C)c1nc(-c2ccccc2)cs1,5.35
C=CCN(C(=O)Nc1ccc(Cl)cc1)C1CC(=O)N(c2ccc(OC)cc2)C1=O,4.95
C=CCN(C(=O)Nc1ccc2c(c1)nc(C)n2C)c1ccccc1,4.75
C=CCN(C(=O)c1cccc(S(=O)(=O)N2CCN(C)CC2)c1)c1nc(-c2ccccc2)cs1,4.7
C=CCN(C(=O)c1csnn1)C(C(=O)NCc1ccc(F)cc1)c1ccc(F)cc1,5.3
C=CCN(C(=O)c1csnn1)C(C(=O)NCc1ccc(F)cc1)c1sccc1C,4.0
C=CCN(C1CCCCC1)S(=O)(=O)c1ccc2c(c1)oc(=O)n2C,4.0
C=CCN(CC=C)C(=O)CN1C(=O)NC(Cc2c[nH]c3ccccc23)C1=O,5.45
C=CCN(CC=C)C(=O)COC(=O)c1[nH]nc2ccccc12,4.75
C=CCN(CC=C)C(=O)c1c(OC)cccc1OC,5.8
C=CCN(CC=C)C(=O)c1cccc(OC2CCN(CC(C)(C)C)CC2)c1,4.0
C=CCN(CC=C)C(=S)NC(=O)/C=C/c1ccccc1,4.35
C=CCN(CC=C)CC(=O)Nc1ccc(S(N)(=O)=O)cc1,4.3
C=CCN(CC=C)Cc1c(C)nc2ccc(C(=O)OCC)cc2c1O,6.2
C=CCN(CC=C)S(=O)(=O)c1ccc2nc(NC(=O)C(C)C)sc2c1,4.35
C=CCN(c1ccc(C(=O)NCCCn2ccnc2)cc1)S(C)(=O)=O,6.25
C=CCN(c1ccc(C(=O)NCCN2CCOCC2)cc1)S(C)(=O)=O,6.15
C=CCN(c1ccc(C(N)=O)cc1)S(C)(=O)=O,6.15
C=CCN(c1ccc(Cl)cc1)S(=O)(=O)c1cccc(C(=O)O)c1,4.05
