Smiles,pChEMBL_Value
CC(NC(=O)CSc1nnc(-c2ccccc2Cl)[nH]1)c1nc2ccccc2[nH]1,4.15
CC(NC(=O)Cc1ccc(NC(=O)N2CCSc3ncccc32)cc1)c1ccccc1,3.95
CC(NC(=O)Cn1c(=O)oc2cc(S(=O)(=O)N3CCCCCC3)ccc21)c1ccccc1,5.5
CC(NC(=O)Cn1c(=O)oc2cc(S(=O)(=O)NCc3ccccc3)ccc21)c1ccccc1,4.6
CC(NC(=O)Cn1ccc2cc(S(=O)(=O)N3CCCCCC3)ccc21)c1ccccc1,3.95
CC(NC(=O)c1ccc(Nc2nc3ccccc3n3nnnc23)cc1)c1ccccc1,4.05
CC(NC(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1ccc(Cl)cc1)c1ccccc1,5.0
CC(NC(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1ccccc1)c1ccccc1,4.2
CC(NC(=O)c1ccc2c(c1)CCN2S(C)(=O)=O)c1ccccc1,4.9
CC(NC(=O)c1ccco1)c1nc(-c2ccccc2)no1,3.95
CC(NC(=O)c1nn(C)c2c1CSc1ccccc1-2)c1ccccc1,4.25
CC(NCCC1=CCCCC1)=C1C(=O)N(C)C(=O)N(C)C1=O,4.55
CC(NCc1ccc2c(c1)n(C)c(=O)n2C)c1ccccc1,4.5
CC(Nc1ccc(-c2nc(-c3cccnc3)no2)cc1[N+](=O)[O-])c1ccccc1,4.7
CC(OC(=O)c1cnc2ccccc2n1)c1ccccc1Cl,4.55
CC(Sc1nnc2ccc3ccccc3n12)C(=O)Nc1ccc(Cl)cc1,4.5
CC1(C(=O)NC2CCCCC2)Cc2ccccc2C(=O)N1Cc1ccc(Cl)cc1,3.95
CC1(C)C(=O)C2(CCCC2)C(=O)OC1c1ccco1,4.45
CC1(C)CC(=O)c2cc(-c3nc(-c4ccc(Cl)cc4)cs3)c(=O)[nH]c2C1,5.85
CC1(C)CC(=O)c2cc(-c3nc(-c4ccccc4)cs3)c(=O)[nH]c2C1,4.0
